50 3
0.292999 0 0
7.771 0 0
15.249 0 0
22.727 0 0
30.205 0 0
0.292999 0 -7.6244
7.771 0 -7.6244
15.249 0 -7.6244
22.727 0 -7.6244
30.205 0 -7.6244
0.292999 0 -15.249
7.771 0 -15.249
15.249 0 -15.249
22.727 0 -15.249
30.205 0 -15.249
0.292999 0 -22.8736
7.771 0 -22.8736
15.249 0 -22.8736
22.727 0 -22.8736
30.205 0 -22.8736
0.292999 0 -30.498
7.771 0 -30.498
15.249 0 -30.498
22.727 0 -30.498
30.205 0 -30.498
20.292999 151.32 0
25.771 149.32 0
31.249 147.32 0
36.727 145.32 0
42.205 143.32 0
20.292999 151.32 -7.6244
25.771 149.32 -7.6244
31.249 147.32 -7.6244
36.727 145.32 -7.6244
42.205 143.32 -7.6244
20.292999 151.32 -15.249
25.771 149.32 -15.249
31.249 147.32 -15.249
36.727 145.32 -15.249
42.205 143.32 -15.249
20.292999 151.32 -22.8736
25.771 149.32 -22.8736
31.249 147.32 -22.8736
36.727 145.32 -22.8736
42.205 143.32 -22.8736
20.292999 151.32 -30.498
25.771 149.32 -30.498
31.249 147.32 -30.498
36.727 145.32 -30.498
42.205 143.32 -30.498
